402,kricketune,402,10,255,134,509,1
407,roserade,407,9,145,232,401,1
412,burmy,412,2,34,45,517,1
417,pachirisu,417,4,39,142,524,1
422,shellos,422,3,63,65,529,1
427,buneary,427,4,55,70,533,1
432,purugly,432,10,438,158,537,1
437,bronzong,437,13,1870,175,541,1
442,spiritomb,442,10,1080,170,543,1
447,riolu,447,7,202,57,548,1
452,drapion,452,13,615,175,554,1
457,lumineon,457,12,240,161,559,1
462,magnezone,462,12,1800,241,120,1
467,magmortar,467,16,680,243,189,1
472,gliscor,472,20,425,179,284,1
477,dusknoir,477,22,1066,236,450,1
482,azelf,482,3,3,261,571,1
487,giratina-altered,487,45,7500,306,576,1
492,shaymin-land,492,2,21,270,582,1
497,serperior,497,33,630,238,588,1
502,dewott,502,8,245,145,593,1
507,herdier,507,9,147,130,598,1
512,simisage,512,11,305,174,603,1
517,munna,517,6,233,58,608,1
522,blitzle,522,8,298,59,613,1
527,woobat,527,4,21,65,618,1
532,timburr,532,6,125,61,624,1
537,seismitoad,537,15,620,229,629,1
542,leavanny,542,12,205,225,634,1
547,whimsicott,547,7,66,168,639,1
552,krokorok,552,10,334,123,645,1
557,dwebble,557,3,145,65,651,1
562,yamask,562,5,15,61,656,1
567,archeops,567,14,320,177,661,1
572,minccino,572,4,58,60,666,1
577,solosis,577,3,10,58,671,1
582,vanillite,582,4,57,61,676,1
587,emolga,587,4,50,150,681,1
592,frillish,592,12,330,67,686,1
597,ferroseed,597,6,188,61,691,1
602,tynamo,602,2,3,55,696,1
607,litwick,607,3,31,55,701,1
612,haxorus,612,18,1055,243,706,1
617,accelgor,617,8,253,173,711,1
622,golett,622,10,920,61,716,1
627,rufflet,627,5,105,70,721,1
632,durant,632,3,330,169,726,1
637,volcarona,637,16,460,248,731,1
642,thundurus-incarnate,642,15,610,261,737,1
647,keldeo-ordinary,647,14,485,261,746,1
652,chesnaught,652,16,900,239,753,1
657,frogadier,657,6,109,142,758,1
662,fletchinder,662,7,160,134,765,1
667,litleo,667,6,135,74,770,1
672,skiddo,672,9,310,70,776,1
677,espurr,677,3,35,71,781,1
682,spritzee,682,2,5,68,788,1
687,malamar,687,15,470,169,793,1
692,clauncher,692,5,83,66,798,1
697,tyrantrum,697,25,2700,182,803,1
702,dedenne,702,2,22,151,807,1
707,klefki,707,2,30,165,812,1
712,bergmite,712,10,995,61,823,1
717,yveltal,717,58,2030,306,828,1
722,rowlet,722,3,15,64,838,1
727,incineroar,727,18,830,239,843,1
732,trumbeak,732,6,148,124,848,1
737,charjabug,737,5,105,140,854,1
742,cutiefly,742,1,2,61,863,1
747,mareanie,747,4,80,61,873,1
752,araquanid,752,18,820,159,878,1
757,salandit,757,6,48,64,885,1
762,steenee,762,7,82,102,891,1
767,wimpod,767,5,120,46,896,1
772,type-null,772,19,1205,107,901,1
777,togedemaru,777,3,33,152,919,1
782,jangmo-o,782,6,297,60,928,1
787,tapu-bulu,787,19,455,257,934,1
792,lunala,792,40,1200,306,939,1
797,celesteela,797,92,9999,257,944,1
